Year,Province name,District number,Election ,Registered voters in district,Valid votes in district,Invalid votes in district,Party name,Party number,Party number of votes,Number of DPR seats,,,,,,,,,,,,,,,
2014,Jawa Barat,3,DPR,,,,Partai Amanat Nasional ,8,"67,575",,,,,,,,,,,,,,,,
2014,Jawa Barat,3,DPR,,,,Partai Persatuan Pembangunan ,9,"100,955",1,,,,,,,,,,,,,,,
2014,Jawa Barat,3,DPR,,,,Partai Hati Nurani Rakyat ,10,"104,716",1,,,,,,,,,,,,,,,
2014,Jawa Barat,3,DPR,,,,Partai Bulan Bintang ,14,"36,908",,,,,,,,,,,,,,,,
2014,Jawa Barat,3,DPR,,,,Partai Keadilan dan Persatuan Indonesia,15,"10,936",,,,,,,,,,,,,,,,
2014,Jawa Barat,4,DPR,"1,969,065","1,283,060",149539,,,,,,,,,,,,,,,,,,,
2014,Jawa Barat,4,DPR,,,,Partai Nasional Demokrat,1,"58,619",,,,,,,,,,,,,,,,
2014,Jawa Barat,4,DPR,,,,Partai Kebangkitan Bangsa,2,"67,854",,,,,,,,,,,,,,,,
2014,Jawa Barat,4,DPR,,,,Partai Keadilan Sejahtera ,3,"131,156",1,,,,,,,,,,,,,,,
2014,Jawa Barat,4,DPR,,,,Partai Demokrasi Indonesia Perjuangan ,4,"189,011",1,,,,,,,,,,,,,,,
2014,Jawa Barat,4,DPR,,,,Partai Golongan Karya ,5,"211,831",1,,,,,,,,,,,,,,,
2014,Jawa Barat,4,DPR,,,,Partai Gerakan Indonesia Raya ,6,"118,565",1,,,,,,,,,,,,,,,
2014,Jawa Barat,4,DPR,,,,Partai Demokrat,7,"99,899",,,,,,,,,,,,,,,,
2014,Jawa Barat,4,DPR,,,,Partai Amanat Nasional ,8,"175,742",1,,,,,,,,,,,,,,,
2014,Jawa Barat,4,DPR,,,,Partai Persatuan Pembangunan ,9,"127,217",1,,,,,,,,,,,,,,,
2014,Jawa Barat,4,DPR,,,,Partai Hati Nurani Rakyat ,10,"80,901",,,,,,,,,,,,,,,,
2014,Jawa Barat,4,DPR,,,,Partai Bulan Bintang ,14,"14,392",,,,,,,,,,,,,,,,
2014,Jawa Barat,4,DPR,,,,Partai Keadilan dan Persatuan Indonesia,15,"7,873",,,,,,,,,,,,,,,,
2014,Jawa Barat,5,DPR,"3,231,372","2,093,772",327895,,,,,,,,,,,,,,,,,,,
2014,Jawa Barat,5,DPR,,,,Partai Nasional Demokrat,1,"113,490",0,,,,,,,,,,,,,,,
