Year,Election,Province,District Number,Party,Candidate name,"Candidate Gender L=Male, P=Female",Candidate list position
2024,DPR,ACEH ,ACEH II,PAN,"Dr. H. S MALTHA, S.I.K., S.H., M.Si.",LAKI - LAKI,2
2024,DPR,ACEH ,ACEH II,PPP,Dr. H. TARMIZI A. KARIM,LAKI - LAKI,2
2024,DPR,ACEH ,ACEH II,Perindo,dr. ICHSAN,LAKI - LAKI,4
2024,DPR,ACEH ,ACEH II,Golkar,drh. NURAINI MAIDA,PEREMPUAN,5
2024,DPR,ACEH ,ACEH II,Buruh,Drs. Agus Syahputra,LAKI - LAKI,1
2024,DPR,ACEH ,ACEH II,PPP,Drs. H. ANWAR IDRIS,LAKI - LAKI,1
2024,DPR,ACEH ,ACEH II,Ummat,Drs. SAID DJAMALUL ABIDIN,LAKI - LAKI,1
2024,DPR,ACEH ,ACEH II,Ummat,"Drs. SAID SADIKIN, M.M.",LAKI - LAKI,6
2024,DPR,ACEH ,ACEH II,PDIP,DWI AYU MARGASARI,PEREMPUAN,3
2024,DPR,ACEH ,ACEH II,PDIP,DWI KRISTINAWATI,PEREMPUAN,6
2024,DPR,ACEH ,ACEH II,Gelora,EGA SURYANINGSIH,PEREMPUAN,5
2024,DPR,ACEH ,ACEH II,Gerindra,"FADLI TRI HARTONO, S.Si., M.P.A.",LAKI - LAKI,2
2024,DPR,ACEH ,ACEH II,PKS,"FARAH FAADHILAH, S.Ag.",PEREMPUAN,6
2024,DPR,ACEH ,ACEH II,Gelora,FAUZI RAMADHAN,LAKI - LAKI,2
2024,DPR,ACEH ,ACEH II,Perindo,FIEN HERAWATI,PEREMPUAN,6
2024,DPR,ACEH ,ACEH II,Buruh,Fitria Ningsih,PEREMPUAN,2
2024,DPR,ACEH ,ACEH II,PAN,"H. AMINULLAH USMAN, S.E.Ak., M.M.",LAKI - LAKI,4
2024,DPR,ACEH ,ACEH II,PKB,"H. DARKASYI, S.H.",LAKI - LAKI,4
2024,DPR,ACEH ,ACEH II,Gerindra,"H. FACHRUL RAZI, M.I.P.",LAKI - LAKI,4
2024,DPR,ACEH ,ACEH II,Gelora,"H. FUADY, S.T., M.Si.",LAKI - LAKI,1
2024,DPR,ACEH ,ACEH II,Golkar,H. ILHAM PANGESTU,LAKI - LAKI,1
2024,DPR,ACEH ,ACEH II,PKB,H. RUSLAN DAUD (HRD),LAKI - LAKI,1
2024,DPR,ACEH ,ACEH II,Golkar,"H. SAYED FUAD ZAKARIA, S.E.",LAKI - LAKI,2
2024,DPR,ACEH ,ACEH II,PSI,HAMDANI,LAKI - LAKI,4
2024,DPR,ACEH ,ACEH II,Demokrat,"HAMZAH TUN, S.H.",LAKI - LAKI,5
2024,DPR,ACEH ,ACEH II,PDIP,HANAFIAH,LAKI - LAKI,2
2024,DPR,ACEH ,ACEH II,Demokrat,HERIYANSYAH,LAKI - LAKI,4
2024,DPR,ACEH ,ACEH II,PSI,HERIZAL,LAKI - LAKI,2
