Year,Election,Province,District Number,Party,Candidate name,"Candidate Gender L=Male, P=Female",Candidate list position
2024,DPR,PAPUA PEGUNUNGAN,PAPUA PEGUNUNGAN,PDIP,"WEMPI WETIPO, S.H., M.H.",LAKI - LAKI,1
2024,DPR,PAPUA PEGUNUNGAN,PAPUA PEGUNUNGAN,Demokrat,"WILLEM WANDIK, S.Sos.",LAKI - LAKI,1
2024,DPR,PAPUA PEGUNUNGAN,PAPUA PEGUNUNGAN,Garuda,YAMINA YIGIBALOM,PEREMPUAN,2
2024,DPR,PAPUA SELATAN,PAPUA SELATAN,PAN,"ABDUL GANING, S.E.",LAKI - LAKI,1
2024,DPR,PAPUA SELATAN,PAPUA SELATAN,Buruh,ADE SIPA FAUJIAH,PEREMPUAN,2
2024,DPR,PAPUA SELATAN,PAPUA SELATAN,Gelora,ADELIA DITA GALUHI,PEREMPUAN,2
2024,DPR,PAPUA SELATAN,PAPUA SELATAN,Golkar,"AGUSTINUS MANIBUY, S.Pi., M.Si.",LAKI - LAKI,1
2024,DPR,PAPUA SELATAN,PAPUA SELATAN,Ummat,AHMAD JALIL SYA'BANI,LAKI - LAKI,1
2024,DPR,PAPUA SELATAN,PAPUA SELATAN,PPP,"ANDI AMAR, S.E.",LAKI - LAKI,2
2024,DPR,PAPUA SELATAN,PAPUA SELATAN,PBB,ARITA ADELHEID M. ORINBAO,PEREMPUAN,2
2024,DPR,PAPUA SELATAN,PAPUA SELATAN,PDIP,BERTHA,PEREMPUAN,3
2024,DPR,PAPUA SELATAN,PAPUA SELATAN,PKN,BERTY RANDEBUA,LAKI - LAKI,1
2024,DPR,PAPUA SELATAN,PAPUA SELATAN,Garuda,DANDI,LAKI - LAKI,2
2024,DPR,PAPUA SELATAN,PAPUA SELATAN,PSI,"DANIEL HATTA, S.Sos., M.H.",LAKI - LAKI,3
2024,DPR,PAPUA SELATAN,PAPUA SELATAN,Ummat,DEWI AYU ROBUNI,PEREMPUAN,2
2024,DPR,PAPUA SELATAN,PAPUA SELATAN,PDIP,EDOARDUS KAIZE,LAKI - LAKI,1
2024,DPR,PAPUA SELATAN,PAPUA SELATAN,PPP,EVANIS ELMUNIR SOUISAY,PEREMPUAN,3
2024,DPR,PAPUA SELATAN,PAPUA SELATAN,PKB,FERA SJOSILAWATI,PEREMPUAN,3
2024,DPR,PAPUA SELATAN,PAPUA SELATAN,Buruh,"FRANSISKUS DAHE BULIN, S.E.",LAKI - LAKI,1
2024,DPR,PAPUA SELATAN,PAPUA SELATAN,PSI,"GABRIEL NDAWI, S.H., M.H.",LAKI - LAKI,1
2024,DPR,PAPUA SELATAN,PAPUA SELATAN,PPP,"H. CHAERUL ANWAR NATSIR, S.T., M.M.",LAKI - LAKI,1
2024,DPR,PAPUA SELATAN,PAPUA SELATAN,Nasdem,H. SULAEMAN L. HAMZAH,LAKI - LAKI,1
2024,DPR,PAPUA SELATAN,PAPUA SELATAN,Demokrat,"HERMAN ADE, S.IP.",LAKI - LAKI,2
2024,DPR,PAPUA SELATAN,PAPUA SELATAN,PKB,"INDRAJAYA, S.E.",LAKI - LAKI,1
2024,DPR,PAPUA SELATAN,PAPUA SELATAN,Gerindra,IRENE,PEREMPUAN,1
2024,DPR,PAPUA SELATAN,PAPUA SELATAN,PAN,IRYANTO HEYMOYE ONDIKELEU,LAKI - LAKI,2
2024,DPR,PAPUA SELATAN,PAPUA SELATAN,PBB,ISAK RUMBOY,LAKI - LAKI,3
2024,DPR,PAPUA SELATAN,PAPUA SELATAN,Hanura,"JETER WILLIAM M. TITIHERU, S.Sos.",LAKI - LAKI,2
2024,DPR,PAPUA SELATAN,PAPUA SELATAN,Demokrat,JOHAN FRANSISKUS WENEHEN,LAKI - LAKI,1
2024,DPR,PAPUA SELATAN,PAPUA SELATAN,Hanura,JOHANNIS CHRISTIANUS GEBZE,LAKI - LAKI,1
2024,DPR,PAPUA SELATAN,PAPUA SELATAN,Gerindra,JOSSEFINE IRIANI KEWAMIJAI,PEREMPUAN,2
2024,DPR,PAPUA SELATAN,PAPUA SELATAN,PBB,KEMAL IDRUS MAY,LAKI - LAKI,1
2024,DPR,PAPUA SELATAN,PAPUA SELATAN,PKB,KRISTOSIMUS YOHANES AGAWEMU,LAKI - LAKI,2
2024,DPR,PAPUA SELATAN,PAPUA SELATAN,PAN,KURNIA SARI,PEREMPUAN,3
2024,DPR,PAPUA SELATAN,PAPUA SELATAN,PKS,"KUSMANTO, S.H., M.H.",LAKI - LAKI,1
2024,DPR,PAPUA SELATAN,PAPUA SELATAN,PKS,"MARDIA, S.Pd.",PEREMPUAN,3
2024,DPR,PAPUA SELATAN,PAPUA SELATAN,PSI,Maria M.S. Nahinde,PEREMPUAN,2
2024,DPR,PAPUA SELATAN,PAPUA SELATAN,Golkar,"MARIA YOSEPHIN LETSOIN, S.E.",PEREMPUAN,3
2024,DPR,PAPUA SELATAN,PAPUA SELATAN,Perindo,MAXMILLIAN A.X APITULEY,LAKI - LAKI,2
2024,DPR,PAPUA SELATAN,PAPUA SELATAN,Perindo,MOH. RACHMAN,LAKI - LAKI,1
2024,DPR,PAPUA SELATAN,PAPUA SELATAN,Golkar,"MUHAMMAD TOPAN SYAH, S.H., M.H.",LAKI - LAKI,2
2024,DPR,PAPUA SELATAN,PAPUA SELATAN,Perindo,NAOMI JESICA,PEREMPUAN,3
2024,DPR,PAPUA SELATAN,PAPUA SELATAN,Garuda,NUNUNG SUDRAJAT,LAKI - LAKI,3
2024,DPR,PAPUA SELATAN,PAPUA SELATAN,Nasdem,"PASCHALINA CH. M. RAHAWARIN, M.Si.",PEREMPUAN,3
2024,DPR,PAPUA SELATAN,PAPUA SELATAN,Gelora,"Pdt. ZADRAK ELWUAR, S.Th., M.H.",LAKI - LAKI,1
2024,DPR,PAPUA SELATAN,PAPUA SELATAN,Buruh,RAHMAN HADI WIJAYA,LAKI - LAKI,3
2024,DPR,PAPUA SELATAN,PAPUA SELATAN,Demokrat,"SINTA JOHAN KARTIKA, S.I.Kom.",PEREMPUAN,3
2024,DPR,PAPUA SELATAN,PAPUA SELATAN,Nasdem,"STEVEN ABRAHAM, A.Md.",LAKI - LAKI,2
2024,DPR,PAPUA SELATAN,PAPUA SELATAN,Hanura,"TETSI EMILIANA SAWI, S.Th.",PEREMPUAN,3
2024,DPR,PAPUA SELATAN,PAPUA SELATAN,PKS,"THEODORUS ERO, S.Sos.",LAKI - LAKI,2
2024,DPR,PAPUA SELATAN,PAPUA SELATAN,Gerindra,TONY F. WAKUM,LAKI - LAKI,3
2024,DPR,PAPUA SELATAN,PAPUA SELATAN,Garuda,YAKOMINA MAGHINGGO,PEREMPUAN,1
2024,DPR,PAPUA SELATAN,PAPUA SELATAN,PDIP,Z. LEANDER OHOIWUTUN,LAKI - LAKI,2
2024,DPR,PAPUA TENGAH,PAPUA TENGAH,Garuda,ABGAR RESTU ADJI,LAKI - LAKI,1
2024,DPR,PAPUA TENGAH,PAPUA TENGAH,Ummat,"ADRIANA YOGI, S.Sos.",PEREMPUAN,1
2024,DPR,PAPUA TENGAH,PAPUA TENGAH,PPP,ALBERTUS KEIYA,LAKI - LAKI,1
2024,DPR,PAPUA TENGAH,PAPUA TENGAH,Perindo,AMELIA BUNAY,PEREMPUAN,2
2024,DPR,PAPUA TENGAH,PAPUA TENGAH,Gelora,ANCE YULIANTI TABUNI,PEREMPUAN,2
2024,DPR,PAPUA TENGAH,PAPUA TENGAH,Gerindra,ARI SIHASALE,LAKI - LAKI,1
2024,DPR,PAPUA TENGAH,PAPUA TENGAH,Nasdem,ARIYANI SUKRAN,PEREMPUAN,3
2024,DPR,PAPUA TENGAH,PAPUA TENGAH,Nasdem,"ARJUNA SAKIR, S.E., M.M.",LAKI - LAKI,2
2024,DPR,PAPUA TENGAH,PAPUA TENGAH,PAN,BARA K. HASIBUAN,LAKI - LAKI,1
2024,DPR,PAPUA TENGAH,PAPUA TENGAH,Gelora,BARNABAS MURIB,LAKI - LAKI,1
2024,DPR,PAPUA TENGAH,PAPUA TENGAH,Buruh,Bernadus Pekei,LAKI - LAKI,2
2024,DPR,PAPUA TENGAH,PAPUA TENGAH,Ummat,BONFASIUS YATIPAI,LAKI - LAKI,2
2024,DPR,PAPUA TENGAH,PAPUA TENGAH,PBB,"DAUD AUWE, M.Th.",LAKI - LAKI,1
2024,DPR,PAPUA TENGAH,PAPUA TENGAH,Demokrat,DENNY PIGAY,LAKI - LAKI,3
2024,DPR,PAPUA TENGAH,PAPUA TENGAH,Perindo,dr. DESI KRISTINA TEBAI,PEREMPUAN,3
2024,DPR,PAPUA TENGAH,PAPUA TENGAH,Hanura,dr. INDAH AYU LESTARI,PEREMPUAN,2
2024,DPR,PAPUA TENGAH,PAPUA TENGAH,PSI,"Dr. PARLINDUNGAN BANJARNAHOR, S.H., M.Pd.",LAKI - LAKI,3
2024,DPR,PAPUA TENGAH,PAPUA TENGAH,Gerindra,dr. SHERRYN,PEREMPUAN,2
2024,DPR,PAPUA TENGAH,PAPUA TENGAH,Golkar,"Dr. SOEDESON TANDRA, S.H., M.Hum.",LAKI - LAKI,2
2024,DPR,PAPUA TENGAH,PAPUA TENGAH,Hanura,dr. YOEL WONORENGGO,LAKI - LAKI,1
2024,DPR,PAPUA TENGAH,PAPUA TENGAH,Garuda,Dra. SRI RAHAYU,PEREMPUAN,2
2024,DPR,PAPUA TENGAH,PAPUA TENGAH,PKS,"ELFINUS OMALENG, B.Com.",LAKI - LAKI,2
2024,DPR,PAPUA TENGAH,PAPUA TENGAH,PSI,"Elisabeth L. Augustyn, A.Md.",PEREMPUAN,2
2024,DPR,PAPUA TENGAH,PAPUA TENGAH,PDIP,"EMA ZONGGONAU, S.K.M.",PEREMPUAN,3
2024,DPR,PAPUA TENGAH,PAPUA TENGAH,PKS,"FITRIANI, S.T.",PEREMPUAN,3
2024,DPR,PAPUA TENGAH,PAPUA TENGAH,PKB,FRANSISCUS XAVERIUS DOUW,LAKI - LAKI,3
2024,DPR,PAPUA TENGAH,PAPUA TENGAH,PKS,INARIUS DOUW,LAKI - LAKI,1
2024,DPR,PAPUA TENGAH,PAPUA TENGAH,Golkar,"ISAIAS DOUW, S.Sos., M.A.P.",LAKI - LAKI,3
2024,DPR,PAPUA TENGAH,PAPUA TENGAH,PSI,ISHAK SEMUEL RONSUMBRE,LAKI - LAKI,1
2024,DPR,PAPUA TENGAH,PAPUA TENGAH,PDIP,"KAMARUDIN WATUBUN, S.H., M.H.",LAKI - LAKI,1
2024,DPR,PAPUA TENGAH,PAPUA TENGAH,Gelora,KISI WONDA,LAKI - LAKI,3
2024,DPR,PAPUA TENGAH,PAPUA TENGAH,PKN,"LAURA ELIZABETH SITOMPUL, S.H.",PEREMPUAN,1
2024,DPR,PAPUA TENGAH,PAPUA TENGAH,PPP,MARGARETHA WONDA,PEREMPUAN,2
2024,DPR,PAPUA TENGAH,PAPUA TENGAH,Garuda,MOHAMAD DJIHAD ALHAMID,LAKI - LAKI,3
2024,DPR,PAPUA TENGAH,PAPUA TENGAH,Nasdem,"NATALIS TABUNI, S.S., M.Si.",LAKI - LAKI,1
2024,DPR,PAPUA TENGAH,PAPUA TENGAH,Perindo,OTOPIANUS. P. TEBAI,LAKI - LAKI,1
2024,DPR,PAPUA TENGAH,PAPUA TENGAH,Buruh,"Paula S Pakage, S.E.",PEREMPUAN,3
2024,DPR,PAPUA TENGAH,PAPUA TENGAH,PKB,"PEGGI PATRISIA PATTIPI, S.E.",PEREMPUAN,1
2024,DPR,PAPUA TENGAH,PAPUA TENGAH,Demokrat,PETRUS MOTE,LAKI - LAKI,2
2024,DPR,PAPUA TENGAH,PAPUA TENGAH,PAN,REMI MAISENI,PEREMPUAN,3
2024,DPR,PAPUA TENGAH,PAPUA TENGAH,PPP,"SALMAH, S.Pd.",PEREMPUAN,3
2024,DPR,PAPUA TENGAH,PAPUA TENGAH,PKB,SAM GOBAY,LAKI - LAKI,2
2024,DPR,PAPUA TENGAH,PAPUA TENGAH,Gerindra,SAMUEL PAKAGE,LAKI - LAKI,3
2024,DPR,PAPUA TENGAH,PAPUA TENGAH,Hanura,"SESILIUS MAGAI, A.Md.Kep.",LAKI - LAKI,3
2024,DPR,PAPUA TENGAH,PAPUA TENGAH,Buruh,"Sonny Pudjisasono, S.H.",LAKI - LAKI,1
2024,DPR,PAPUA TENGAH,PAPUA TENGAH,PDIP,"SUPEN MURIB, S.Sos.",LAKI - LAKI,2
2024,DPR,PAPUA TENGAH,PAPUA TENGAH,PKN,"TABRONI BIN M. CAHYA, S.H.",LAKI - LAKI,2
2024,DPR,PAPUA TENGAH,PAPUA TENGAH,Golkar,TRIFENA M. TINAL,PEREMPUAN,1
2024,DPR,PAPUA TENGAH,PAPUA TENGAH,PKN,YONATHAN KLEMEN,LAKI - LAKI,3
2024,DPR,PAPUA TENGAH,PAPUA TENGAH,PAN,"YOTI GIRE, S.Sos.",LAKI - LAKI,2
2024,DPR,PAPUA TENGAH,PAPUA TENGAH,Ummat,YULIUS GOBAI,LAKI - LAKI,3
2024,DPR,PAPUA TENGAH,PAPUA TENGAH,Demokrat,YULLY SARAH MURIB,PEREMPUAN,1
2024,DPR,RIAU ,RIAU I,PPP,"ABDUL RIDWAN YAZID, S.Sos.",LAKI - LAKI,5
2024,DPR,RIAU ,RIAU I,Garuda,AFDHAL ZIKRI,LAKI - LAKI,1
2024,DPR,RIAU ,RIAU I,PSI,AJI MUHAMAD FAUZI,LAKI - LAKI,4
2024,DPR,RIAU ,RIAU I,PBB,AKHMAD KHADAFI,LAKI - LAKI,2
2024,DPR,RIAU ,RIAU I,Perindo,ALFREDO SARAGIH,LAKI - LAKI,7
2024,DPR,RIAU ,RIAU I,Ummat,"AMRIL PILI, S.H.",LAKI - LAKI,3
2024,DPR,RIAU ,RIAU I,Buruh,Anita,PEREMPUAN,4
2024,DPR,RIAU ,RIAU I,Demokrat,Antoni Girsang,LAKI - LAKI,7
2024,DPR,RIAU ,RIAU I,Garuda,ARIS ALFAJAR,LAKI - LAKI,4
2024,DPR,RIAU ,RIAU I,Garuda,ARIS BAYA,LAKI - LAKI,5
2024,DPR,RIAU ,RIAU I,Nasdem,"ASRI AUZAR, S.H., M.Si.",LAKI - LAKI,5
2024,DPR,RIAU ,RIAU I,Ummat,"ASY'ARI, S.H.",LAKI - LAKI,6
2024,DPR,RIAU ,RIAU I,Buruh,Azwan Fauzi,LAKI - LAKI,5
2024,DPR,RIAU ,RIAU I,Ummat,BISMAR RAMBAH,LAKI - LAKI,4
2024,DPR,RIAU ,RIAU I,PKN,BOSMAN RIADI,LAKI - LAKI,6
2024,DPR,RIAU ,RIAU I,PSI,CRISTIAN DINATA KURNIAWAN,LAKI - LAKI,6
2024,DPR,RIAU ,RIAU I,PBB,"DARWIS, S.Pd.",LAKI - LAKI,4
2024,DPR,RIAU ,RIAU I,PPP,"DENI NOFENDRI, S.T.",LAKI - LAKI,7
2024,DPR,RIAU ,RIAU I,PKN,DESY MARLINA,PEREMPUAN,5
2024,DPR,RIAU ,RIAU I,PDIP,"DIAN WAHYUNI ESMAN, S.K.M., M.M., M.H.Kes.",PEREMPUAN,6
2024,DPR,RIAU ,RIAU I,Gerindra,DIMAS PRASETYA,LAKI - LAKI,7
2024,DPR,RIAU ,RIAU I,Hanura,DITO KURNIAWAN,LAKI - LAKI,6
2024,DPR,RIAU ,RIAU I,Ummat,dr. DIANA TABRANI,PEREMPUAN,1
2024,DPR,RIAU ,RIAU I,Demokrat,"Dr. H. ACHMAD, M.Si.",LAKI - LAKI,1
2024,DPR,RIAU ,RIAU I,PAN,"Dr. H. JON ERIZAL, S.E., M.B.A.",LAKI - LAKI,1
2024,DPR,RIAU ,RIAU I,PKS,"Dr. H. MAWARDI MUHAMMAD SALEH, Lc., M.A.",LAKI - LAKI,4
2024,DPR,RIAU ,RIAU I,PPP,"Dr. H. SYAMSURIZAL, S.E., M.M.",LAKI - LAKI,2
2024,DPR,RIAU ,RIAU I,PAN,"Dr. Hj. INTSIAWATI AYUS, S.H., M.H.",PEREMPUAN,3
2024,DPR,RIAU ,RIAU I,Golkar,"Dr. Hj. KARMILA SARI, S.Kom., M.M.",PEREMPUAN,3
2024,DPR,RIAU ,RIAU I,Perindo,"Dr. Ir. KUDUS KURNIAWAN MANGAPUL, S.Si., M.A.",LAKI - LAKI,2
2024,DPR,RIAU ,RIAU I,Gerindra,"Dr. Ir. SALOMO, M.H.",LAKI - LAKI,3
2024,DPR,RIAU ,RIAU I,PAN,dr. IRVAN HERMAN ABDULLAH,LAKI - LAKI,2
2024,DPR,RIAU ,RIAU I,Demokrat,"Dr. KOKO ISKANDAR, S.Ag., M.Si.",LAKI - LAKI,5
2024,DPR,RIAU ,RIAU I,Golkar,dr. MAHARANI,PEREMPUAN,5
2024,DPR,RIAU ,RIAU I,PKB,"Dr. TAUFIK ARRAKHMAN, S.H., M.H.",LAKI - LAKI,5
2024,DPR,RIAU ,RIAU I,PKB,"dr. ZUL ASDI, Sp. B., M.H.",LAKI - LAKI,4
2024,DPR,RIAU ,RIAU I,PKS,"Drs. CHAIRUL ANWAR, Apt.",LAKI - LAKI,2
2024,DPR,RIAU ,RIAU I,Golkar,"Drs. H. SYAMSUAR, M.Si.",LAKI - LAKI,1
2024,DPR,RIAU ,RIAU I,PKB,"Drs. IRWAN, M.Si.",LAKI - LAKI,3
2024,DPR,RIAU ,RIAU I,PBB,"Drs. MUHAMMAD SALTUT, M.A.",LAKI - LAKI,1
2024,DPR,RIAU ,RIAU I,PKS,"ELIDANETTI, S.H., M.H.",PEREMPUAN,7
2024,DPR,RIAU ,RIAU I,PSI,ERMA KARINA PURI,PEREMPUAN,5
2024,DPR,RIAU ,RIAU I,PDIP,FAJAR B.S LASE,LAKI - LAKI,3
2024,DPR,RIAU ,RIAU I,PKN,FAJAR MENANTI SIMANJUNTAK,LAKI - LAKI,1
2024,DPR,RIAU ,RIAU I,Demokrat,FARIDA ZAM,PEREMPUAN,6
2024,DPR,RIAU ,RIAU I,PKN,FATIMAH AZZAHRA,PEREMPUAN,3
2024,DPR,RIAU ,RIAU I,Ummat,FAUZI KADIR,LAKI - LAKI,2
2024,DPR,RIAU ,RIAU I,PAN,"H. FENDRI JASWIR, S.P., M.P.",LAKI - LAKI,4
2024,DPR,RIAU ,RIAU I,PKS,"H. HENDRY MUNIEF, M.B.A.",LAKI - LAKI,1
2024,DPR,RIAU ,RIAU I,PPP,"H. HUSAIMI HAMIDI, S.E., M.H.",LAKI - LAKI,4
2024,DPR,RIAU ,RIAU I,PKS,"H. MARKARIUS ANWAR, S.T., M.Arch.",LAKI - LAKI,5
2024,DPR,RIAU ,RIAU I,PAN,"H. R. FAISAL, S.P.",LAKI - LAKI,5
2024,DPR,RIAU ,RIAU I,PPP,"H. RUSLI EFFENDI, S.Pd.I., S.E., M.Si.",LAKI - LAKI,1
2024,DPR,RIAU ,RIAU I,PKB,H. SUGIANTO,LAKI - LAKI,2
2024,DPR,RIAU ,RIAU I,PKB,"HARIMAN TUA DIBATA SIREGAR, S.E.",LAKI - LAKI,7
2024,DPR,RIAU ,RIAU I,Hanura,"HENDRI NELDI, S.Sos., S.H.",LAKI - LAKI,1
2024,DPR,RIAU ,RIAU I,Hanura,HERLINA HARAHAP,PEREMPUAN,2
2024,DPR,RIAU ,RIAU I,Gerindra,HILAL AHMAD,LAKI - LAKI,4
2024,DPR,RIAU ,RIAU I,PDIP,"Hj. DEWI JULIANI, S.H.",PEREMPUAN,1
2024,DPR,RIAU ,RIAU I,PPP,"Hj. DINAWATI, S.Ag.",PEREMPUAN,3
2024,DPR,RIAU ,RIAU I,Demokrat,"Hj. INDRI SULISTYOWATI, S.H.",PEREMPUAN,3
2024,DPR,RIAU ,RIAU I,PKS,"Hj. MIRA ROZA, S.H.",PEREMPUAN,3
2024,DPR,RIAU ,RIAU I,Demokrat,"Hj. SULASTRI A., S.Sos., M.H.",PEREMPUAN,2
2024,DPR,RIAU ,RIAU I,Gerindra,"HUSNA, M.Ag.",PEREMPUAN,2
2024,DPR,RIAU ,RIAU I,PDIP,"Ir. EFFENDI SIANIPAR, M.M., M.Si.",LAKI - LAKI,2
2024,DPR,RIAU ,RIAU I,Golkar,"Ir. H. ARSYADJULIANDI RACHMAN, M.B.A.",LAKI - LAKI,4
2024,DPR,RIAU ,RIAU I,Golkar,Ir. SUDIRMAN ALMUN,LAKI - LAKI,6
2024,DPR,RIAU ,RIAU I,Buruh,Irman Sujarwadi,LAKI - LAKI,7
2024,DPR,RIAU ,RIAU I,Gelora,"ISKANDAR, S.Si.",LAKI - LAKI,1
2024,DPR,RIAU ,RIAU I,PDIP,"IWANDI, S.H., M.H.",LAKI - LAKI,5
2024,DPR,RIAU ,RIAU I,PKB,IYETH BUSTAMI,PEREMPUAN,1
2024,DPR,RIAU ,RIAU I,PSI,"KEVIN, S.E.",LAKI - LAKI,2
2024,DPR,RIAU ,RIAU I,PBB,KHAIRANI,PEREMPUAN,6
2024,DPR,RIAU ,RIAU I,Hanura,LEDIYANA,PEREMPUAN,3
2024,DPR,RIAU ,RIAU I,Hanura,LODWIJK SATAHHI P. HUTAPEA,LAKI - LAKI,4
2024,DPR,RIAU ,RIAU I,Perindo,"M SUHADA, S.IP., M.M.",LAKI - LAKI,4
2024,DPR,RIAU ,RIAU I,Nasdem,M. YATIM MAAMUN,LAKI - LAKI,4
2024,DPR,RIAU ,RIAU I,PKS,"MALAYSIANA, S.I.P.",PEREMPUAN,6
2024,DPR,RIAU ,RIAU I,PSI,MARDIA BAEHAKI,PEREMPUAN,3
2024,DPR,RIAU ,RIAU I,PBB,MEGAWATI,PEREMPUAN,3
2024,DPR,RIAU ,RIAU I,Ummat,MOHAMMAD IQBAL AQOSY,LAKI - LAKI,7
2024,DPR,RIAU ,RIAU I,Nasdem,MUHAMMAD AULIA,LAKI - LAKI,2
2024,DPR,RIAU ,RIAU I,Gerindra,MUHAMMAD RAHUL,LAKI - LAKI,1
2024,DPR,RIAU ,RIAU I,PDIP,MULYONO,LAKI - LAKI,7
2024,DPR,RIAU ,RIAU I,Buruh,Murhayani,PEREMPUAN,6
2024,DPR,RIAU ,RIAU I,Demokrat,"NASRUL HADI, S.T., M.T.",LAKI - LAKI,4
2024,DPR,RIAU ,RIAU I,Garuda,NENENG HOLIPAH,PEREMPUAN,6
2024,DPR,RIAU ,RIAU I,PAN,"NOVITA FAUZIAH, S.Ag.",PEREMPUAN,6
2024,DPR,RIAU ,RIAU I,PSI,NUR WULAN ANGGRAINI,PEREMPUAN,7
2024,DPR,RIAU ,RIAU I,Golkar,PANEL BARUS,LAKI - LAKI,2
2024,DPR,RIAU ,RIAU I,PKB,"PRETTYA LESTARI, S.E., M.Acc., Ak.",PEREMPUAN,6
2024,DPR,RIAU ,RIAU I,Gelora,RADIKAL OSAMA SIREGAR,LAKI - LAKI,2
2024,DPR,RIAU ,RIAU I,PAN,"RAHMAD AIDIL FITRA, S.E.",LAKI - LAKI,7
2024,DPR,RIAU ,RIAU I,PSI,RAJA JULI ANTONI,LAKI - LAKI,1
2024,DPR,RIAU ,RIAU I,Golkar,"RAMOS TEDDY SIANTURI, S.H., M.M.",LAKI - LAKI,7
2024,DPR,RIAU ,RIAU I,Garuda,RANGGAI MAHESA,LAKI - LAKI,7
2024,DPR,RIAU ,RIAU I,Gerindra,"RATI PITRIA NINGSI, S.E., M.A.P.",PEREMPUAN,6
2024,DPR,RIAU ,RIAU I,Nasdem,"RITA ZAHARA, S.H.",PEREMPUAN,1
2024,DPR,RIAU ,RIAU I,PKN,ROBERT H. SIRAIT,LAKI - LAKI,4
2024,DPR,RIAU ,RIAU I,Nasdem,"RONY SAMUDRA, S.H.",LAKI - LAKI,3
2024,DPR,RIAU ,RIAU I,Ummat,"ROSILAWATI, S.H.",PEREMPUAN,5
2024,DPR,RIAU ,RIAU I,PBB,ROTASDI,LAKI - LAKI,5
2024,DPR,RIAU ,RIAU I,Perindo,SAYED ABUBAKAR A. ASSEGGAF,LAKI - LAKI,1
2024,DPR,RIAU ,RIAU I,Buruh,Shaheen M.M Al Kubaysi,LAKI - LAKI,3
2024,DPR,RIAU ,RIAU I,Gerindra,SHEILA DIRHAMNA,PEREMPUAN,5
2024,DPR,RIAU ,RIAU I,Gelora,SHOFIYAH SALSABILA,PEREMPUAN,3
2024,DPR,RIAU ,RIAU I,Perindo,SITI KHODIJAH,PEREMPUAN,6
2024,DPR,RIAU ,RIAU I,Perindo,SITI SUARSIH,PEREMPUAN,5
2024,DPR,RIAU ,RIAU I,Nasdem,SRI DEVIYANI,PEREMPUAN,6
2024,DPR,RIAU ,RIAU I,PPP,SRI WAHYUNI,PEREMPUAN,6
2024,DPR,RIAU ,RIAU I,PDIP,"SYAFARUDDIN POTI, S.H., M.M.",LAKI - LAKI,4
2024,DPR,RIAU ,RIAU I,PKN,SYAFRIAL INDRA,LAKI - LAKI,2
2024,DPR,RIAU ,RIAU I,PBB,SYAIFUL,LAKI - LAKI,7
2024,DPR,RIAU ,RIAU I,Garuda,TUTIK KRISWATI,PEREMPUAN,3
2024,DPR,RIAU ,RIAU I,Perindo,WAN ANISKA ARIYATI,PEREMPUAN,3
2024,DPR,RIAU ,RIAU I,Nasdem,WIDI YOLANDA,LAKI - LAKI,7
2024,DPR,RIAU ,RIAU I,Hanura,"YENI RISNA ANORA, S.H., M.H.",PEREMPUAN,5
2024,DPR,RIAU ,RIAU I,Buruh,"Yoshi Erlina, S.E., M.H.",PEREMPUAN,1
2024,DPR,RIAU ,RIAU I,Buruh,Yudi Efrizon,LAKI - LAKI,2
2024,DPR,RIAU ,RIAU I,Garuda,ZELLIN LATIEVANI,PEREMPUAN,2
2024,DPR,RIAU ,RIAU II,PPP,"ABD RAZAQ, S.Ag.",LAKI - LAKI,6
2024,DPR,RIAU ,RIAU II,PKB,"ABDUL WAHID, S.Pd.I., M.Si.",LAKI - LAKI,1
2024,DPR,RIAU ,RIAU II,PPP,AFRIZAL HIDAYAT,LAKI - LAKI,1
2024,DPR,RIAU ,RIAU II,PKN,AGHINTHA PRADEWI,PEREMPUAN,3
2024,DPR,RIAU ,RIAU II,PKB,"AHERSON, S.Sos., M.Si.",LAKI - LAKI,4
2024,DPR,RIAU ,RIAU II,Nasdem,"AIS OTIESTA, S.Sos.",PEREMPUAN,6
2024,DPR,RIAU ,RIAU II,PSI,ALIS DINAR SARI,PEREMPUAN,5
2024,DPR,RIAU ,RIAU II,Garuda,AMIR AHMAD,LAKI - LAKI,1
2024,DPR,RIAU ,RIAU II,Hanura,APRIZAL DAHLAN MADJID,LAKI - LAKI,4
2024,DPR,RIAU ,RIAU II,Nasdem,ARI NUGROHO ARSADIANTO,LAKI - LAKI,4
2024,DPR,RIAU ,RIAU II,Garuda,AYATULLAH HUMAENI,LAKI - LAKI,2
2024,DPR,RIAU ,RIAU II,Garuda,CAHYANI,PEREMPUAN,6
2024,DPR,RIAU ,RIAU II,PAN,"DASRIL AFFANDI, S.H., M.H.",LAKI - LAKI,6
2024,DPR,RIAU ,RIAU II,PDIP,"DEBBY D.W SANGARI, S.I.P.",PEREMPUAN,4
2024,DPR,RIAU ,RIAU II,Buruh,Dita Rahmawati Sukma,PEREMPUAN,5
2024,DPR,RIAU ,RIAU II,PSI,DJATMIKO,LAKI - LAKI,6
2024,DPR,RIAU ,RIAU II,Gelora,"Dr. H. LUKMAN JAMALUDDIN, M.A.",LAKI - LAKI,2
2024,DPR,RIAU ,RIAU II,PDIP,"Dr. M. KAPITRA AMPERA, S.H., M.H.",LAKI - LAKI,1
2024,DPR,RIAU ,RIAU II,Ummat,"Dr. MUHAMMAD RAKIB, S.H., M.Ag.",LAKI - LAKI,3
