Year,Election,Province name,Candidate Name ,,,,,,,,,,,,,
2019,DPD,Jawa Timur,"MISBAHUL MUNIR, M.Ag",,,,,,,,,,,,,
2019,DPD,Jawa Timur,"MOHAMMAD TRIJANTO, S.H",,,,,,,,,,,,,
2019,DPD,Jawa Timur,"MUHAMAD KODERI HW, M.T",,,,,,,,,,,,,
2019,DPD,Jawa Timur,PURWO ALI,,,,,,,,,,,,,
2019,DPD,Jawa Timur,ZAIFUL ANAM,,,,,,,,,,,,,
2019,DPD,Kalimantan Barat,ABDUL FAZRI,,,,,,,,,,,,,
2019,DPD,Kalimantan Barat,"BENI SULASTIYO, S.E",,,,,,,,,,,,,
2019,DPD,Kalimantan Barat,dr. IKKE WISAKSONO,,,,,,,,,,,,,
2019,DPD,Kalimantan Barat,"Dr. KHALILAH, M.Pd.",,,,,,,,,,,,,
2019,DPD,Kalimantan Barat,"Drs. CHRISTIANDY SANJAYA, S.E., M.M",,,,,,,,,,,,,
2019,DPD,Kalimantan Barat,Drs. H. ABDUL RAHMI,,,,,,,,,,,,,
2019,DPD,Kalimantan Barat,Drs. H. M. SURONTO,,,,,,,,,,,,,
2019,DPD,Kalimantan Barat,"ERLINAWATI, S.H., M.AP",,,,,,,,,,,,,
2019,DPD,Kalimantan Barat,"GLORIO SANEN, S.H.",,,,,,,,,,,,,
2019,DPD,Kalimantan Barat,"H. AMRI KALAM, S.H., M.H.",,,,,,,,,,,,,
2019,DPD,Kalimantan Barat,H. SUKIRYANTO,,,,,,,,,,,,,
2019,DPD,Kalimantan Barat,"Hj. RUBAETI ERLITA, S.Sos.I., S.H",,,,,,,,,,,,,
2019,DPD,Kalimantan Barat,"JOSEPH ODILLO OENDOEN, S.Sn",,,,,,,,,,,,,
2019,DPD,Kalimantan Barat,"MARIA GORETI, S.Sos., M.Si.",,,,,,,,,,,,,
2019,DPD,Kalimantan Barat,"MUHAMMAD ISA, S.Pd.",,,,,,,,,,,,,
2019,DPD,Kalimantan Barat,MUHAMMAD SALEH,,,,,,,,,,,,,
2019,DPD,Kalimantan Barat,MUJILASTUTI,,,,,,,,,,,,,
2019,DPD,Kalimantan Barat,"N. CH. SAIYAN, S.H., M.H.",,,,,,,,,,,,,
2019,DPD,Kalimantan Barat,"Prof. Dr. H. SAMION AR, M.Pd.",,,,,,,,,,,,,
2019,DPD,Kalimantan Barat,"YUDI ALDIYANSYAH, S.E.",,,,,,,,,,,,,
