Year,Election ,Province name,Candidate name,,,,,,,,,
2024,DPD,Jawa Tengah,"DENTY EKA WIDI PRATIWI, S.E., M.H.",,,,,,,,,
2024,DPD,Jawa Tengah,"Dr. H. ABDUL KHOLIK, S.H., M.Si.",,,,,,,,,
2024,DPD,Jawa Tengah,"Dr.H.MUHDI,S.H.,M.Hum",,,,,,,,,
2024,DPD,Jawa Tengah,"Ir. H. BAMBANG SUTRISNO, M.M.",,,,,,,,,
2024,DPD,Jawa Tengah,Ir. JOKO DALMADYO,,,,,,,,,
2024,DPD,Jawa Tengah,"KODIRIN, S.H., M.M.",,,,,,,,,
2024,DPD,Jawa Tengah,LAMAATUS SHOBAH DIMYATI ROIS,,,,,,,,,
2024,DPD,Jawa Tengah,TAJ YASIN,,,,,,,,,
2024,DPD,Jawa Timur,AA. AHMAD NAWARDI,,,,,,,,,
2024,DPD,Jawa Timur,"ABDUL QADIR AMIR HARTONO, S.E., S.H., M.H.",,,,,,,,,
2024,DPD,Jawa Timur,"ADILLA AZIS, S.E.",,,,,,,,,
2024,DPD,Jawa Timur,BAMBANG HARIANTO,,,,,,,,,
2024,DPD,Jawa Timur,"CATUR RUDI UTANTO, S.SOS.",,,,,,,,,
2024,DPD,Jawa Timur,DODDY DWI NUGROHO,,,,,,,,,
2024,DPD,Jawa Timur,Dr. LIA ISTIFHAMA,,,,,,,,,
2024,DPD,Jawa Timur,Drs. AYUB KHAN,,,,,,,,,
2024,DPD,Jawa Timur,"Ir. H. AA LA NYALA MAHMUD MATTALITTI, M.HP",,,,,,,,,
2024,DPD,Jawa Timur,"Ir. H. AGUS RAHARDJO, MSc.M.",,,,,,,,,
2024,DPD,Jawa Timur,KONDANG KUSUMANING AYU,,,,,,,,,
2024,DPD,Jawa Timur,KUNJUNG WAHYUDI,,,,,,,,,
2024,DPD,Jawa Timur,"MOHAMMAD TRIJANTO. S.H., M.M., M.H",,,,,,,,,
2024,DPD,Kalimantan Barat,"BRIDE SURYANUS ALLORANTE, S.T., M.M., M.T.",,,,,,,,,
2024,DPD,Kalimantan Barat,DAUD YORDAN,,,,,,,,,
2024,DPD,Kalimantan Barat,DAVID OENDOEN,,,,,,,,,
2024,DPD,Kalimantan Barat,"DOMINIKUS OKBERTUS SRIKUJAM, S.Sos., M.Sos.",,,,,,,,,
2024,DPD,Kalimantan Barat,"DrS. CHRISTIANDY SANJAYA, S.E., M.M.",,,,,,,,,
