Year,Election ,Province name,Candidate name
2014,DPD,Jawa Barat,"H. Aceng Holik Munawar Fikri, S.Ag."
2014,DPD,Jawa Barat,"H. M. Yos Faisal Husni, M.H., M. Hum. "
2014,DPD,Jawa Barat,H. Rudi Harsa Tanaya
2014,DPD,Jawa Barat,"H. Syarif Bastaman, S.H."
2014,DPD,Jawa Barat,"H. Tubagus Dasep, IPS, S.Sos., S.H., B.E., M.Sc. "
2014,DPD,Jawa Barat,"H.Hasan Zainal Abidin EZ, S.E., M.M."
2014,DPD,Jawa Barat,"Hj. Euis Atikah, S.Sos"
2014,DPD,Jawa Barat,"Husni F. Mubarok, S.Ag., M.Si."
2014,DPD,Jawa Barat,Ir. H. Ayi Hambali
2014,DPD,Jawa Barat,"Julianda Barus, M.M., M.B.A. "
2014,DPD,Jawa Barat,"K.H. Moh. Athoillah Mursjid, S.E., M.Si. "
2014,DPD,Jawa Barat,Muhammad Hafidz
2014,DPD,Jawa Barat,"Nace Permana, S.E."
2014,DPD,Jawa Barat,Nazar Hariz
2014,DPD,Jawa Barat,Oni Suwarman
2014,DPD,Jawa Barat,"Ratu Raja Arimbi Nurtina, S.T."
2014,DPD,Jawa Barat,Syifa Hananta
2014,DPD,Jawa Barat,"Tri Wuryantoro, S.E., M.I.Kom"
2014,DPD,Jawa Barat,"Unang Margana, S.H., M.H. "
2014,DPD,Jawa Tengah,Agus Mujiyanto
2014,DPD,Jawa Tengah,"Ahsan Fauzi, S.Sos.I"
2014,DPD,Jawa Tengah,"Bagyono, ST"
2014,DPD,Jawa Tengah,"Dr. H. Bambang Sadono, S.H., M.H."
2014,DPD,Jawa Tengah,"Dr. H. Sulistiyo, M.Pd."
2014,DPD,Jawa Tengah,"Dra. Hj. H.R. Utami, M.Hum."
2014,DPD,Jawa Tengah,"Drs. H. Ahmad Niam Syukri, M.Si. "
2014,DPD,Jawa Tengah,Drs. H. Akhmad Muqowam
2014,DPD,Jawa Tengah,"Drs. H. Hendro Martojo, M.M."
2014,DPD,Jawa Tengah,"Drs. H. Humam Sabroni, M.Si"
2014,DPD,Jawa Tengah,Drs. Jabir
2014,DPD,Jawa Tengah,Drs. K.P.H. Sumaryoto Padmodiningrat
2014,DPD,Jawa Tengah,"Drs. St. Sukirno, M.S."
2014,DPD,Jawa Tengah,G.K.R. Ayu Koes Indriyah 
2014,DPD,Jawa Tengah,"H. Iskandar, S.Ag., M.Si."
2014,DPD,Jawa Tengah,"H. Sudir Santoso, S.H."
2014,DPD,Jawa Tengah,Heriyanto
2014,DPD,Jawa Tengah,"Hj. Denty Eka Widi Oratiwi, S.E., M.H."
2014,DPD,Jawa Tengah,"Hj. Siti Azzah, S.Sos."
2014,DPD,Jawa Tengah,"Ika Trisna Mulyaningsih, S.T."
2014,DPD,Jawa Tengah,Ir. H. Soeharsojo
2014,DPD,Jawa Tengah,"Ir. Kunto Endriyono, M.M."
2014,DPD,Jawa Tengah,"Khizanaturrohmah, S.Ag."
2014,DPD,Jawa Tengah,"Kundari, S.E."
2014,DPD,Jawa Tengah,Mayjen (Purn.) Drs. H. Kurdi Mustofa
2014,DPD,Jawa Tengah,"Muhammad Al Habsy, S.Pd"
2014,DPD,Jawa Tengah,Poppy Dharsono
2014,DPD,Jawa Tengah,R. Sukarno Winarto
2014,DPD,Jawa Tengah,"Suro Jogo PBSH, S.E."
2014,DPD,Jawa Tengah,Tjahjadi Takariawan
2014,DPD,Jawa Tengah,Toto Dirgantoro
2014,DPD,Jawa Tengah,Wakil Maghfur
2014,DPD,Jawa Timur,ABDUL DJALIL LTC
2014,DPD,Jawa Timur,"ABDUL QADIR AMIR HARTONO, S.E., S.H., M.H."
2014,DPD,Jawa Timur,AGUS PATMINTO
2014,DPD,Jawa Timur,AINUL YAKIN
2014,DPD,Jawa Timur,AKHMAD TAUFIQ
2014,DPD,Jawa Timur,ALI ASSEGAF
2014,DPD,Jawa Timur,ALI WAHDIN
2014,DPD,Jawa Timur,ANDI AHMAD SETYOBUDI
2014,DPD,Jawa Timur,"BAMBANG J. PRAMONO, S.Si."
2014,DPD,Jawa Timur,DESEMBA SAGITA ALEXSANDRA NT
2014,DPD,Jawa Timur,Dr. H.M. MARKUM SINGODIMEDJO
2014,DPD,Jawa Timur,Dr. MARDJITO GISAN ATMOJO
2014,DPD,Jawa Timur,"Drs, H. ABDUL SUDARSONO"
2014,DPD,Jawa Timur,"Drs. H. A. BUDIONO, M.Ed."
2014,DPD,Jawa Timur,"Drs. H. A. MUHAIMIN, M.T."
2014,DPD,Jawa Timur,"Drs. H. MASHURI, M.Si."
2014,DPD,Jawa Timur,Drs. MOH. SHALEH
2014,DPD,Jawa Timur,"DWI ASTUTIK, S.Ag., M.Si."
2014,DPD,Jawa Timur,"H. ACHMAD SOEDJA'I, S.H., M.M."
2014,DPD,Jawa Timur,"H. AHMAD NAWARDI, S.Ag."
2014,DPD,Jawa Timur,"H. MOCH. HAMZAH, S.T., M.M."
2014,DPD,Jawa Timur,"HJ. CHOFSOH WAHYUNI, S.Pd., M.Si."
2014,DPD,Jawa Timur,Hj. EMILIA CONTESSA
2014,DPD,Jawa Timur,HJ. ZUHARIAH
2014,DPD,Jawa Timur,"IMAM MUL HUDA, S.H "
2014,DPD,Jawa Timur,IMAM SUPENO
2014,DPD,Jawa Timur,"KH. M. HASIB WAHAB CHASBULLAH, S.I.P. "
2014,DPD,Jawa Timur,"KHODIJATUL QODRIYAH S.Ag., M.M. PUB, M.Si. "
2014,DPD,Jawa Timur,MEI EKO RUSIANTO
2014,DPD,Jawa Timur,"MUHAMMAD AGUS MUSLIM, S.H. "
2014,DPD,Jawa Timur,NURSIO
2014,DPD,Jawa Timur,"Prof. Dr. Dra. Hj. Istibsjaroh., B.A., S.H., M.A"
2014,DPD,Jawa Timur,"R. MOERDJOKO, S.Pd."
