Year,Province name,Election ,Registered voters in district,Valid votes in district,Invalid votes,Candidate name,Candidate number,Candidate number of votes,Candidate elected to the DPD,,,,,,,,,,,
2014,DKI Jakarta ,DPD,,,,Drs. Mohammad Sjohirin. M.Si ,18,"36,316",,,,,,,,,,,,
2014,DKI Jakarta ,DPD,,,,"Drs. H. Mohammad Joesoef, S.E., M.Si. ",19,"119,227",,,,,,,,,,,,
2014,DKI Jakarta ,DPD,,,,Mutiati Sejahtera,20,"59,817",,,,,,,,,,,,
2014,DKI Jakarta ,DPD,,,,"H. Pardi, S.H. ",21,"22,808",,,,,,,,,,,,
2014,DKI Jakarta ,DPD,,,,Parni Hardi ,22,"41,681",,,,,,,,,,,,
2014,DKI Jakarta ,DPD,,,,Ramdansyah,23,"29,619",,,,,,,,,,,,
2014,DKI Jakarta ,DPD,,,,"Rekson Silaban, S.E. ",24,"43,218",,,,,,,,,,,,
2014,DKI Jakarta ,DPD,,,,H. Rizki Aljupri,25,"67,762",,,,,,,,,,,,
2014,DKI Jakarta ,DPD,,,,Rommy,26,"70,429",,,,,,,,,,,,
2014,DKI Jakarta ,DPD,,,,Rudy Hamid,27,"8,316",,,,,,,,,,,,
2014,DKI Jakarta ,DPD,,,,Sabam Sirait,28,"237,273",,,,,,,,,,,,
2014,DKI Jakarta ,DPD,,,,"Santo Dewatmoko, S.T., M.M., M.A.",29,"10,785",,,,,,,,,,,,
2014,DKI Jakarta ,DPD,,,,"H. Sayogo Hendrosubroto, S.I.P. ",30,"17,415",,,,,,,,,,,,
2014,DKI Jakarta ,DPD,,,,Drs. Sergius Kelang,31,"18,502",,,,,,,,,,,,
2014,DKI Jakarta ,DPD,,,,"Usmar, S.E., M.M. ",32,"8,215",,,,,,,,,,,,
2014,DKI Jakarta ,DPD,,,,Vivi Effendy,33,"204,897",,,,,,,,,,,,
2014,DKI Jakarta ,DPD,,,,Wahyu Raharjo,34,"34,667",,,,,,,,,,,,
2014,DKI Jakarta ,DPD,,,,"H. Zuhdi Mamduhi, S.E. ",35,"17,747",,,,,,,,,,,,
2014,Gorontalo,DPD,,"634,401",,,,,,,,,,,,,,,,
2014,Gorontalo,DPD,,,,Drs. A.D. Khaly,1,"26,659",,,,,,,,,,,,
2014,Gorontalo,DPD,,,,"Dr. ABD. Razak Mozin, S.Ag., M.Si",2,"16,352",,,,,,,,,,,,
2014,Gorontalo,DPD,,,,"H. Abdurrahman Abubakar Bahmid, Lc. ",3,"42,152",1,,,,,,,,,,,
2014,Gorontalo,DPD,,,,"Adzhar Pakaya, S.I.P, ",4,"11,614",,,,,,,,,,,,
2014,Gorontalo,DPD,,,,Burhan Mantulangi,5,"9,690",,,,,,,,,,,,
2014,Gorontalo,DPD,,,,Hj. Carolina Kaluku,6,"26,540",,,,,,,,,,,,
2014,Gorontalo,DPD,,,,,7,,,,,,,,,,,,,
2014,Gorontalo,DPD,,,,"Dewi Sartika Hemeto, S.E. ",8,"28,206",1,,,,,,,,,,,
2014,Gorontalo,DPD,,,,Ir. Ethon Parman,9,"20,024",,,,,,,,,,,,
2014,Gorontalo,DPD,,,,Hana Hasanah Vadel Muhammad ,10,"185,079",1,,,,,,,,,,,
2014,Gorontalo,DPD,,,,"Hasan Abdullah, S.E. ",11,"11,597",,,,,,,,,,,,
2014,Gorontalo,DPD,,,,Herman D. Ishak,12,"9,529",,,,,,,,,,,,
2014,Gorontalo,DPD,,,,Mohammad Taufik Dalu ,13,"5,144",,,,,,,,,,,,
2014,Gorontalo,DPD,,,,"Hi. Nizam Dai, S.I.Pem",14,"20,410",,,,,,,,,,,,
2014,Gorontalo,DPD,,,,"Nur Hasan, S.E. ",15,"14,039",,,,,,,,,,,,
2014,Gorontalo,DPD,,,,Hj. Rahmijati Jahja,16,"179,789",1,,,,,,,,,,,
2014,Gorontalo,DPD,,,,"Drs. Syarief Sabara, M.Si. ",17,"4,083",,,,,,,,,,,,
2014,Gorontalo,DPD,,,,"Umar Karim, S.I.P. ",18,"23,494",,,,,,,,,,,,
2014,Jambi,DPD,,"1,565,791",,,,,,,,,,,,,,,,
2014,Jambi,DPD,,,,H. Abu Bakar Jamalia,1,"93,605",1,,,,,,,,,,,
2014,Jambi,DPD,,,,"Andi Yusman, S.E",2,"62,990",,,,,,,,,,,,
2014,Jambi,DPD,,,,"Anggi Purnama Harahap, S.H",3,"60,403",,,,,,,,,,,,
2014,Jambi,DPD,,,,"Drs. H. Asra H.D, M.Pd.I",4,"37,110",,,,,,,,,,,,
2014,Jambi,DPD,,,,"Azman, S.H",5,"34,304",,,,,,,,,,,,
2014,Jambi,DPD,,,,Azwan Herwanto,6,"44,494",,,,,,,,,,,,
2014,Jambi,DPD,,,,Benny Pratama Sofwan,7,"63,758",,,,,,,,,,,,
2014,Jambi,DPD,,,,"Hj. Daryati Uteng S, S.E., M.M ",8,"127,376",1,,,,,,,,,,,
2014,Jambi,DPD,,,,Halilintar,9,"35,886",,,,,,,,,,,,
2014,Jambi,DPD,,,,"Hasbi Anshory, S.E., M.M",10,"64,597",,,,,,,,,,,,
2014,Jambi,DPD,,,,"IIn Inawati, S.Pd",11,"40,983",,,,,,,,,,,,
2014,Jambi,DPD,,,,"H. Indra Armendaris, S.H",12,"17,470",,,,,,,,,,,,
2014,Jambi,DPD,,,,Dra. Irina Safitri,13,"20,231",,,,,,,,,,,,
2014,Jambi,DPD,,,,"H. Irsal Yunus, S.E., M.M",14,"68,359",,,,,,,,,,,,
2014,Jambi,DPD,,,,Jefri Hendrik ,15,"19,790",,,,,,,,,,,,
2014,Jambi,DPD,,,,Joni Ahyar,16,"7,007",,,,,,,,,,,,
2014,Jambi,DPD,,,,Dra. Hj. Juniwati T. Masjchun S,17,"94,841",1,,,,,,,,,,,
2014,Jambi,DPD,,,,"Ir. Kamil Rusdi, M.Si",18,"18,136",,,,,,,,,,,,
2014,Jambi,DPD,,,,"Kemas Alfarizi Arsyad, S.E ",19,"28,819",,,,,,,,,,,,
2014,Jambi,DPD,,,,"Linda Astuty, S.E., M.M",20,"82,463",,,,,,,,,,,,
2014,Jambi,DPD,,,,"M. Syukur, S.H",21,"235,943",1,,,,,,,,,,,
2014,Jambi,DPD,,,,"Mohd. Syarief Gamal, S.H., MH",22,"17,345",,,,,,,,,,,,
2014,Jambi,DPD,,,,"Mohon Indrajaya, S.H",23,"4,206",,,,,,,,,,,,
2014,Jambi,DPD,,,,"Muhammad Yasir Arafat, S.E",24,"25,772",,,,,,,,,,,,
2014,Jambi,DPD,,,,"H. Nuzran Joher, S.Ag., M.Si",25,"68,276",,,,,,,,,,,,
2014,Jambi,DPD,,,,"Sukarno, S.H",26,"15,089",,,,,,,,,,,,
2014,Jambi,DPD,,,,"H. Suryadi, S.Ag.",27,"29,831",,,,,,,,,,,,
2014,Jambi,DPD,,,,Syahri,28,"4,899",,,,,,,,,,,,
2014,Jambi,DPD,,,,"Untung Susanto, S.Pd",29,"30,009",,,,,,,,,,,,
2014,Jambi,DPD,,,,"Yatno, S.P",30,"16,449",,,,,,,,,,,,
2014,Jambi,DPD,,,,Yopi Muthalib,31,"67,798",,,,,,,,,,,,
2014,Jambi,DPD,,,,Drs. Zulkarnain Al-Fath,32,"27,552",,,,,,,,,,,,
2014,Jawa Barat,DPD,,"18,845,907",,,,,,,,,,,,,,,,
