Year,Province name,Election ,Registered voters in district,Valid votes in district,Invalid votes,Candidate name,Candidate number,Candidate number of votes,Candidate elected,,,,,,,,
2024,Jawa Barat,DPD,,,,"YUNITA DIAN SUWANDARI, S.T., M.M., M.T.",54,"107,053",,,,,,,,,
2024,Jawa Tengah,DPD,"28,289,413","18,460,060","4,963,729",,,,,,,,,,,,
2024,Jawa Tengah,DPD,,,,"Dr. H. ABDUL KHOLIK, S.H., M.Si.",1," 2,160,469 ",1,,,,,,,,
2024,Jawa Tengah,DPD,,,,AGUS MUJAYANTO,2,"941,268",,,,,,,,,
2024,Jawa Tengah,DPD,,,,"AHMAD BALICH MU'AIDI, S.Pd.I.",3,"784,666",,,,,,,,,
2024,Jawa Tengah,DPD,,,,"Ir. H. BAMBANG SUTRISNO, M.M.",4,"1,520,105",,,,,,,,,
2024,Jawa Tengah,DPD,,,,"CASYTHA A. KATHMANDU, S.E.",5," 3,567,338 ",1,,,,,,,,
2024,Jawa Tengah,DPD,,,,"DENTY EKA WIDI PRATIWI, S.E., M.H.",6," 1,929,267 ",1,,,,,,,,
2024,Jawa Tengah,DPD,,,,Ir. JOKO DALMADYO,7,"575,779",,,,,,,,,
2024,Jawa Tengah,DPD,,,,"KODIRIN, S.H., M.M.",8,"447,780",,,,,,,,,
2024,Jawa Tengah,DPD,,,,LAMAATUS SHOBAH DIMYATI ROIS,9,"1,083,182",,,,,,,,,
2024,Jawa Tengah,DPD,,,,"Dr.H.MUHDI,S.H.,M.Hum",10,"1,628,507",,,,,,,,,
2024,Jawa Tengah,DPD,,,,TAJ YASIN,11,"3,821,699",1,,,,,,,,
2024,Jawa Timur,DPD,"31,402,838","20,290,187","6,177,902",,,,,,,,,,,,
2024,Jawa Timur,DPD,,,,AA. AHMAD NAWARDI,1,"3,281,105",1,,,,,,,,
2024,Jawa Timur,DPD,,,,"Ir. H. AA LA NYALA MAHMUD MATTALITTI, M.HP",2,"3,132,076",1,,,,,,,,
2024,Jawa Timur,DPD,,,,"ABDUL QADIR AMIR HARTONO, S.E., S.H., M.H.",3,"1,429,865",,,,,,,,,
2024,Jawa Timur,DPD,,,,"ADILLA AZIS, S.E.",4,"1,955,615",,,,,,,,,
2024,Jawa Timur,DPD,,,,"Ir. H. AGUS RAHARDJO, MSc.M.",5,"2,205,069",,,,,,,,,
2024,Jawa Timur,DPD,,,,Drs. AYUB KHAN,6,"1,465,714",,,,,,,,,
2024,Jawa Timur,DPD,,,,BAMBANG HARIANTO,7,"444,543",,,,,,,,,
2024,Jawa Timur,DPD,,,,"CATUR RUDI UTANTO, S.SOS.",8,"398,249",,,,,,,,,
2024,Jawa Timur,DPD,,,,DODDY DWI NUGROHO,9,"184,431",,,,,,,,,
2024,Jawa Timur,DPD,,,,KONDANG KUSUMANING AYU,10,"2,542,036",1,,,,,,,,
2024,Jawa Timur,DPD,,,,KUNJUNG WAHYUDI,11,"184,127",,,,,,,,,
2024,Jawa Timur,DPD,,,,Dr. LIA ISTIFHAMA,12,"2,739,123",1,,,,,,,,
2024,Jawa Timur,DPD,,,,"MOHAMMAD TRIJANTO. S.H., M.M., M.H",13,"328,234",,,,,,,,,
2024,Kalimantan Barat,DPD,"3,958,561","2,884,393","386,121",,,,,,,,,,,,
2024,Kalimantan Barat,DPD,,,,"BRIDE SURYANUS ALLORANTE, S.T., M.M., M.T.",1,"191,334",,,,,,,,,
2024,Kalimantan Barat,DPD,,,,"DrS. CHRISTIANDY SANJAYA, S.E., M.M.",2,"243,856",,,,,,,,,
2024,Kalimantan Barat,DPD,,,,"Drs. CORNELIUS KIMHA, M.Si.",3,"153,816",,,,,,,,,
2024,Kalimantan Barat,DPD,,,,DAUD YORDAN,4,"527,697",1,,,,,,,,
2024,Kalimantan Barat,DPD,,,,DAVID OENDOEN,5,"89,197",,,,,,,,,
2024,Kalimantan Barat,DPD,,,,"DOMINIKUS OKBERTUS SRIKUJAM, S.Sos., M.Sos.",6,"35,076",,,,,,,,,
2024,Kalimantan Barat,DPD,,,,"Hj. ERLINAWATI, S.H., M.A.P.",7,"369,961",1,,,,,,,,
2024,Kalimantan Barat,DPD,,,,FACHRUDIN DARAJAT SIREGAR,8,"77,684",,,,,,,,,
2024,Kalimantan Barat,DPD,,,,"MAKARIUS SINTONG, S.H., M.H.",9,"45,903",,,,,,,,,
2024,Kalimantan Barat,DPD,,,,"MARIA GORETI, S.SoS.,.M.Si.",10,"276,562",1,,,,,,,,
2024,Kalimantan Barat,DPD,,,,"MAURITIUS ARYA TANJUNGPURA, S.Sos.",11,"42,653",,,,,,,,,
2024,Kalimantan Barat,DPD,,,,"H. PENSONG, S.E., M.Si.",12,"96,224",,,,,,,,,
2024,Kalimantan Barat,DPD,,,,"Hj. RUBAETI ERLITA, S.Sos.I., S.H.",13,"235,730",,,,,,,,,
2024,Kalimantan Barat,DPD,,,,"SYARIF MELVIN, S.H.",14,"399,273",1,,,,,,,,
2024,Kalimantan Barat,DPD,,,,"Drs. T.T.A. NYARONG, M.Si.",15,"45,397",,,,,,,,,
